"2237-9029";"Desenvolvimento Regional em debate";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1518-952X";"Desenvolvimento e Meio Ambiente (UFPR)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"2237-6453";"Desenvolvimento em Questão";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2177-1758";"Direito e Liberdade.";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1516-6104";"Direito, Estado e Sociedade (Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1980-7805";"Direitos Culturais";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1519-3640";"Diálogo (Canoas)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1980-8380";"Dom (Fundação Dom Cabral)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"2175-6716";"Drops (São Paulo)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1983-1838";"E-tech: Tecnologias para Competitividade Industrial";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2177-8310";"EAD em Foco";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2177-4310";"EAD em Foco - Revista de Educação a Distância";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1027-5207";"EURODL (Oslo)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1983-9278";"Eccos Revista Científica (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1470-160X";"Ecological Indicators";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1517-7580";"Economia (Brasília)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1413-8050";"Economia Aplicada (Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1983-1994";"Economia Ensaios";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1517-9354";"Economia e Desenvolvimento (Recife)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1414-6509";"Economia e Desenvolvimento (Santa Maria)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1678-8982";"Economia e Gestao";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0104-0618";"Economia e Sociedade (UNICAMP. Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"0264-9993";"Economic Modelling";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
